year,sex,age,value
2004,1,58,1364399
2004,1,59,1352760
2004,1,60,1315754
2004,1,61,1365695
2004,1,62,1199144
2004,1,63,1108921
2004,1,64,1070816
2004,1,65,1015816
2004,1,66,986009
2004,1,67,922625
2004,1,68,895181
2004,1,69,883380
2004,1,70,796318
2004,1,71,791222
2004,1,72,769205
2004,1,73,752487
2004,1,74,744927
2004,1,75,686874
2004,1,76,671287
2004,1,77,633496
2004,1,78,588554
2004,1,79,559869
2004,1,80,509590
2004,1,81,464757
2004,1,82,425169
2004,1,83,381825
2004,1,84,329740
2004,1,85,269625
2004,1,86,238350
2004,1,87,193604
2004,1,88,160302
2004,1,89,133041
2004,1,90,103181
2004,1,91,80149
2004,1,92,60148
2004,1,93,43602
2004,1,94,31425
2004,1,95,21291
2004,1,96,15631
2004,1,97,10273
2004,1,98,6611
2004,1,99,4547
2004,1,100,7519
2005,1,0,2047711
2005,1,1,2036538
2005,1,2,2020295
2005,1,3,2012820
2005,1,4,2058231
2005,1,5,1991645
2005,1,6,1956456
2005,1,7,1962661
2005,1,8,1973522
2005,1,9,2030883
2005,1,10,2125604
2005,1,11,2124517
2005,1,12,2178897
2005,1,13,2204584
2005,1,14,2230595
2005,1,15,2288448
2005,1,16,2213951
2005,1,17,2183662
2005,1,18,2174412
2005,1,19,2190952
2005,1,20,2185676
2005,1,21,2139490
2005,1,22,2151169
2005,1,23,2136786
2005,1,24,2124028
2005,1,25,2115519
2005,1,26,1993073
2005,1,27,1942425
2005,1,28,1913949
2005,1,29,1857200
2005,1,30,1952025
2005,1,31,1859850
2005,1,32,1926111
2005,1,33,2019457
2005,1,34,2131340
2005,1,35,2200202
2005,1,36,2066098
2005,1,37,2016811
2005,1,38,2018877
2005,1,39,2085045
2005,1,40,2226254
2005,1,41,2258597
2005,1,42,2245748
2005,1,43,2258382
2005,1,44,2264181
2005,1,45,2314057
2005,1,46,2220792
2005,1,47,2228342
2005,1,48,2188567
2005,1,49,2108325
2005,1,50,2113557
2005,1,51,2026203
2005,1,52,1947260
2005,1,53,1891790
2005,1,54,1842482
2005,1,55,1824610
2005,1,56,1761297
2005,1,57,1739222
2005,1,58,1819296
2005,1,59,1350936
2005,1,60,1330174
2005,1,61,1316923
2005,1,62,1351274
2005,1,63,1188493
2005,1,64,1090862
2005,1,65,1057487
2005,1,66,1000448
2005,1,67,971691
2005,1,68,904790
2005,1,69,874711
2005,1,70,857454
2005,1,71,781306
2005,1,72,765167
2005,1,73,746001
2005,1,74,724073
2005,1,75,709619
2005,1,76,662437
2005,1,77,637311
2005,1,78,600987
2005,1,79,553999
2005,1,80,520539
2005,1,81,475653
2005,1,82,426417
2005,1,83,390040
2005,1,84,343965
2005,1,85,293858
2005,1,86,239144
2005,1,87,208469
2005,1,88,164989
2005,1,89,135491
2005,1,90,107838
2005,1,91,83891
2005,1,92,63576
2005,1,93,45686
2005,1,94,32679
2005,1,95,22801
2005,1,96,15678
2005,1,97,10877
2005,1,98,6886
2005,1,99,4493
2005,1,100,7488
2006,1,0,2065819
2006,1,1,2029583
2006,1,2,2037699
2006,1,3,2026575
2006,1,4,2028196
2006,1,5,2067621
2006,1,6,1989878
2006,1,7,1966492
2006,1,8,1970668
2006,1,9,1994856
2006,1,10,2108693
2006,1,11,2121524
2006,1,12,2148879
2006,1,13,2186207
2006,1,14,2205891
2006,1,15,2260192
2006,1,16,2315411
2006,1,17,2231279
2006,1,18,2212557
2006,1,19,2190977
2006,1,20,2184969
2006,1,21,2191406
2006,1,22,2132034
2006,1,23,2150367
